Tool Name,Number of Times Invoked,Success Rate (%)
add,1,0.00
beautiful_soup_web_scraper,1,0.00
calculate,3,0.00
calculate_factorial,1,0.00
calculator,9,0.00
cos,2,100.00
datetime,1,0.00
download_pdf,1,0.00
download_website,1,0.00
duckduckgo_search,5,0.00
eval,2,0.00
eval_arithmetic,1,0.00
factorial,5,60.00
fibonacci,1,100.00
fibonacci_sequence,3,66.67
get,3,100.00
get_page_content,1,0.00
get_stock_price,1,0.00
log,1,100.00
math_calculator,1,0.00
mcp_calculator,1,0.00
mcp_remainder,1,0.00
multiplication,1,0.00
multiply,1,0.00
now,1,100.00
ord,8,0.00
parallel,14,0.00
pow,4,25.00
round,2,0.00
search,1,0.00
search_engine,1,0.00
search_stored_documents_rag,20,0.00
sin,2,100.00
sqrt,1,100.00
square_root,1,0.00
stock_price_tool,1,0.00
sum,2,50.00
tan,2,100.00
time_service,1,0.00
timezone,1,100.00
weather_forecast,1,0.00
web_search,28,0.00
